Item,CCI,contributor,/cci_items/cci_item/definition,Note,Parameter,publishdate,creator,index,location,title,version,status,Type,publishdate2,version2
1,CCI-001545,DISA FSO,The organization defines a frequency for reviewing and updating the access control policy.,,,5/11/10,NIST,AC-1 a,http://csrc.nist.gov/publications/PubsSPs.html,NIST SP 800-53,3,draft,,5/14/14,5/14/14
1,CCI-001545,DISA FSO,The organization defines a frequency for reviewing and updating the access control policy.,,,5/11/10,NIST,AC-1.2 (i),http://csrc.nist.gov/publications/PubsSPs.html,NIST SP 800-53A,1,draft,,5/14/14,5/14/14
1,CCI-001545,DISA FSO,The organization defines a frequency for reviewing and updating the access control policy.,,,5/11/10,NIST,AC-1 b 1,http://csrc.nist.gov/publications/PubsSPs.html,NIST SP 800-53 Revision 4,4,draft,,5/14/14,5/14/14
1,CCI-001545,DISA FSO,The organization defines a frequency for reviewing and updating the access control policy.,,,5/11/10,,,,,,draft,policy,5/14/14,5/14/14
2,CCI-001546,DISA FSO,The organization defines a frequency for reviewing and updating the access control procedures.,,,5/11/10,NIST,AC-1 b,http://csrc.nist.gov/publications/PubsSPs.html,NIST SP 800-53,3,draft,,5/14/14,5/14/14
2,CCI-001546,DISA FSO,The organization defines a frequency for reviewing and updating the access control procedures.,,,5/11/10,NIST,AC-1.2 (iii),http://csrc.nist.gov/publications/PubsSPs.html,NIST SP 800-53A,1,draft,,5/14/14,5/14/14
2,CCI-001546,DISA FSO,The organization defines a frequency for reviewing and updating the access control procedures.,,,5/11/10,NIST,AC-1 b 2,http://csrc.nist.gov/publications/PubsSPs.html,NIST SP 800-53 Revision 4,4,draft,,5/14/14,5/14/14
2,CCI-001546,DISA FSO,The organization defines a frequency for reviewing and updating the access control procedures.,,,5/11/10,,,,,,draft,policy,5/14/14,5/14/14
3,CCI-000001,DISA FSO,"The organization develops an access control policy that addresses purpose, scope, roles, responsibilities, management commitment, coordination among organizational entities, and compliance.","The policy will address purpose, scope, roles, responsibilities, management commitment, coordination among organizational entities, and compliance.",Access Control Policy Document,5/13/09,NIST,AC-1 a,http://csrc.nist.gov/publications/PubsSPs.html,NIST SP 800-53,3,draft,,5/14/14,5/14/14
3,CCI-000001,DISA FSO,"The organization develops an access control policy that addresses purpose, scope, roles, responsibilities, management commitment, coordination among organizational entities, and compliance.","The policy will address purpose, scope, roles, responsibilities, management commitment, coordination among organizational entities, and compliance.",Access Control Policy Document,5/13/09,NIST,AC-1.1 (i and ii),http://csrc.nist.gov/publications/PubsSPs.html,NIST SP 800-53A,1,draft,,5/14/14,5/14/14
3,CCI-000001,DISA FSO,"The organization develops an access control policy that addresses purpose, scope, roles, responsibilities, management commitment, coordination among organizational entities, and compliance.","The policy will address purpose, scope, roles, responsibilities, management commitment, coordination among organizational entities, and compliance.",Access Control Policy Document,5/13/09,NIST,AC-1 a 1,http://csrc.nist.gov/publications/PubsSPs.html,NIST SP 800-53 Revision 4,4,draft,,5/14/14,5/14/14
3,CCI-000001,DISA FSO,"The organization develops an access control policy that addresses purpose, scope, roles, responsibilities, management commitment, coordination among organizational entities, and compliance.","The policy will address purpose, scope, roles, responsibilities, management commitment, coordination among organizational entities, and compliance.",Access Control Policy Document,5/13/09,,,,,,draft,policy,5/14/14,5/14/14
4,CCI-000004,DISA FSO,The organization develops procedures to facilitate the implementation of the access control policy and associated access controls.,,Access Control Policy Procedures,5/13/09,NIST,AC-1 b,http://csrc.nist.gov/publications/PubsSPs.html,NIST SP 800-53,3,draft,,5/14/14,5/14/14
4,CCI-000004,DISA FSO,The organization develops procedures to facilitate the implementation of the access control policy and associated access controls.,,Access Control Policy Procedures,5/13/09,NIST,AC-1.1 (iv  and  v),http://csrc.nist.gov/publications/PubsSPs.html,NIST SP 800-53A,1,draft,,5/14/14,5/14/14
4,CCI-000004,DISA FSO,The organization develops procedures to facilitate the implementation of the access control policy and associated access controls.,,Access Control Policy Procedures,5/13/09,NIST,AC-1 a 2,http://csrc.nist.gov/publications/PubsSPs.html,NIST SP 800-53 Revision 4,4,draft,,5/14/14,5/14/14
4,CCI-000004,DISA FSO,The organization develops procedures to facilitate the implementation of the access control policy and associated access controls.,,Access Control Policy Procedures,5/13/09,,,,,,draft,policy,5/14/14,5/14/14
5,CCI-000002,DISA FSO,The organization disseminates the access control policy to organization-defined personnel or roles.,"The policy will address purpose, scope, roles, responsibilities, management commitment, coordination among organizational entities, and compliance.",Record of distribution history of access control policy,9/14/09,NIST,AC-1 a,http://csrc.nist.gov/publications/PubsSPs.html,NIST SP 800-53,3,draft,,5/14/14,5/14/14
5,CCI-000002,DISA FSO,The organization disseminates the access control policy to organization-defined personnel or roles.,"The policy will address purpose, scope, roles, responsibilities, management commitment, coordination among organizational entities, and compliance.",Record of distribution history of access control policy,9/14/09,NIST,AC-1.1 (iii),http://csrc.nist.gov/publications/PubsSPs.html,NIST SP 800-53A,1,draft,,5/14/14,5/14/14
5,CCI-000002,DISA FSO,The organization disseminates the access control policy to organization-defined personnel or roles.,"The policy will address purpose, scope, roles, responsibilities, management commitment, coordination among organizational entities, and compliance.",Record of distribution history of access control policy,9/14/09,NIST,AC-1 a 1,http://csrc.nist.gov/publications/PubsSPs.html,NIST SP 800-53 Revision 4,4,draft,,5/14/14,5/14/14
5,CCI-000002,DISA FSO,The organization disseminates the access control policy to organization-defined personnel or roles.,"The policy will address purpose, scope, roles, responsibilities, management commitment, coordination among organizational entities, and compliance.",Record of distribution history of access control policy,9/14/09,,,,,,draft,policy,5/14/14,5/14/14
6,CCI-000003,DISA FSO,The organization reviews and updates the access control policy in accordance with organization-defined frequency.,"The policy will address purpose, scope, roles, responsibilities, management commitment, coordination among organizational entities, and compliance.","Document of Review, Comments, and Changes of access control policy",9/14/09,NIST,AC-1 a,http://csrc.nist.gov/publications/PubsSPs.html,NIST SP 800-53,3,draft,,5/14/14,5/14/14
